"","CXQ_T_tpm","GY_T_tpm","HCM_T_tpm","LGL_T_tpm","MYP_T_tpm","SMJ_T_tpm","XB_T_tpm","CXQ_N_tpm","GY_N_tpm","HCM_N_tpm","LGL_N_tpm","MYP_N_tpm","SMJ_N_tpm","XB_N_tpm"
"ABCF1",24.7818856625798,26.8008162149706,23.6875705196664,30.8807165210862,23.0497175010425,20.4683866946114,31.2407820292239,24.3627171093634,21.9640885996407,20.2848478142403,27.2769433205873,23.7092964866205,22.9444169787541,30.1316002576317
"ABCF2",15.6951942529672,11.4860640921302,15.2823035610751,11.4699804221177,13.8298305006255,12.4590179880243,18.7444692175343,8.12090570312114,8.0920326419729,10.7390370781272,10.6735865167516,10.9427522245941,8.74073027762059,10.5460600901711
"ABCF2-H2BK1",12.3909428312899,16.2719241305179,9.93349731469882,14.9992051673847,12.2931826672227,14.2388777005992,8.92593772263539,9.2810350892813,9.24803730511189,8.35258439409895,10.6735865167516,5.47137611229704,9.83332156232317,6.02632005152634
"ABCF3",29.7382627950958,26.8008162149706,19.1028794513439,22.9399608442354,26.1230131678482,23.1381762634737,50.8778450190217,27.8431052678439,25.4321025890577,23.8645268402827,27.2769433205873,23.7092964866205,27.3147821175644,30.1316002576317
"ABCG1",8.26062855419327,9.57172007677521,9.93349731469882,7.94075567685073,8.45156308371559,9.78922841916197,8.92593772263539,15.0816820200821,20.8080839365017,32.2171112343817,14.2314486890021,8.20706416844556,15.296277985836,16.5723801416974
"ABCG2",0,1.91434401535504,0.764115178053755,1.7646123726335,0.768323916701418,0.889929856287452,0.892593772263539,12.7614232477618,2.31200932627797,56.0816380746644,36.764575779922,2.73568805614852,14.2036867011335,1.50658001288158
"ABHD10",16.5212571083865,19.1434401535504,9.93349731469882,9.70536804948422,8.45156308371559,16.9086672694616,12.4963128116895,12.7614232477618,11.5600466313899,10.7390370781272,8.30167840191787,11.8546482433103,10.9259128470257,9.0394800772895
"ABHD11",42.955268481805,36.3725362917458,38.2057589026878,29.9984103347694,29.1963088346539,45.38642267066,63.3741578307113,49.885563604887,21.9640885996407,41.7629219704948,39.1364838947557,24.6211925053367,41.5184688186978,51.2237204379739
"ABHD11-AS1",0.826062855419327,4.7858600383876,3.05646071221502,7.05844949053398,3.84161958350709,4.44964928143726,4.46296886131769,12.7614232477618,11.5600466313899,41.7629219704948,17.7893108612526,9.11896018716174,18.5740518399438,31.6381802705133
"ABHD12",74.3456569877394,53.6016324299412,27.5081464099352,39.7037783842536,77.6007155868432,34.7072643952106,45.5222823854405,64.9672456249691,52.0202098412544,65.6274488107775,59.297702870842,37.3877367673631,63.3702945127493,61.7697805281449
"ABHD12B",0,10.5288920844527,0.764115178053755,1.7646123726335,6.14659133361134,0,0.892593772263539,0,0,3.57967902604241,3.55786217225052,0.911896018716174,0,0
"ABHD13",4.95637713251596,4.7858600383876,4.58469106832253,6.17614330421723,6.91491525031276,6.22950899401216,4.46296886131769,4.64051754464065,4.62401865255594,4.77290536805654,4.74381622966736,4.55948009358087,4.3703651388103,4.51974003864475
"ABHD14A",3.30425142167731,4.7858600383876,3.05646071221502,6.17614330421723,2.30497175010425,6.22950899401216,11.603719039426,6.96077631696098,4.62401865255594,4.77290536805654,3.55786217225052,5.47137611229704,5.46295642351287,6.02632005152634
"ABHD14A-ACY1",9.08669140961259,11.4860640921302,5.34880624637629,9.70536804948422,3.07329566680567,10.6791582754494,6.24815640584477,9.2810350892813,8.0920326419729,4.77290536805654,3.55786217225052,4.55948009358087,7.64813899291802,7.53290006440792
"ABHD14B",23.1297599517411,44.9870843608435,16.8105339171826,28.2337979621359,24.5863653344454,22.2482464071863,45.5222823854405,58.0064693080081,41.6161678730035,38.1832429444524,45.0662541818399,31.9163606550661,38.2406949645901,57.2500404895002
"ABHD15",4.13031427709663,6.70020405374264,4.58469106832253,4.41153093158374,3.07329566680567,3.55971942514981,3.57037508905416,5.80064693080081,8.0920326419729,8.35258439409895,7.11572434450103,3.64758407486469,7.64813899291802,6.02632005152634
"ABHD15-AS1",13.2170056867092,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD16A",27.2600742288378,22.014956176583,24.4516856977202,25.5868794031857,26.8913370845496,16.0187374131741,36.5963446628051,32.4836228124846,21.9640885996407,28.6374322083393,24.9050352057536,26.444984542769,36.0555123951849,37.6645003220396
"ABHD17A",2.47818856625798,2.87151602303256,3.05646071221502,4.41153093158374,4.60994350020851,2.66978956886236,43.7370948409134,4.64051754464065,2.31200932627797,4.77290536805654,7.11572434450103,7.29516814972939,3.27777385410772,9.0394800772895
"ABHD17B",9.91275426503192,7.65737606142017,6.11292142443004,6.17614330421723,6.91491525031276,8.89929856287452,6.24815640584477,9.2810350892813,9.24803730511189,10.7390370781272,7.11572434450103,8.20706416844556,8.74073027762059,10.5460600901711
"ABHD17C",39.6510170601277,45.944256368521,29.0363767660427,53.8206773653216,25.3546892511468,44.4964928143726,24.1000318511155,62.6469868526488,56.6442284938103,83.5258439409895,49.8100704115072,40.1234248235116,56.8147468045339,57.2500404895002
